StatZone,Year,Month,ResNum,Women,Men,Children,18_34,35_44,45_54,55_64,65_74,75_84,85+,SalNoHKResNum,SalHKResNum,SalPenResNum,SalSHNoBTLResNum,IncSelfResNum,SalNoHKAve,SalHKAve,SalPenAve,SalSHNoBTLAve,IncSelfAve
611,2019,12,4228,2208,2020,1105,1008,588,513,435,309,187,78,1818,16,159,68,246,10648,2286,6475,3642,10061
612,2019,12,2042,1042,1000,428,521,261,285,215,179,104,47,930,16,89,37,106,9299,1906,5999,3663,9166
613,2019,12,1974,1023,951,318,604,267,246,215,165,115,43,917,35,60,20,112,8173,2810,4416,3705,6127
621,2019,12,4337,2305,2032,738,985,682,554,480,483,259,153,1934,68,238,85,257,10223,2926,6653,4394,7322
622,2019,12,2960,1562,1398,791,661,347,337,312,274,163,70,1132,45,148,47,130,9288,2813,6020,4104,7914
623,2019,12,3606,1866,1740,998,744,396,431,364,376,206,88,1392,20,317,69,186,11327,1816,6894,4101,8343
631,2019,12,5336,2667,2669,1349,1226,672,505,562,556,339,119,1974,63,129,35,188,7621,1958,4832,4401,6803
632,2019,12,2913,1446,1467,506,749,398,373,352,297,161,71,1198,42,77,38,106,7601,2366,4394,3162,8145
633,2019,12,1537,743,794,362,380,216,191,169,119,70,28,620,27,46,14,66,7313,3391,4967,2726,7762
634,2019,12,2050,971,1079,298,491,261,262,292,256,138,50,817,25,43,19,78,6697,2633,4186,2541,6352
641,2019,12,3860,1967,1893,1143,872,311,372,416,420,234,89,1227,51,62,36,96,6540,2242,3792,3208,5444
642,2019,12,6380,3146,3234,3095,1536,535,329,310,331,156,84,1708,36,144,44,194,7053,1412,5741,5704,7275
643,2019,12,1507,715,792,723,364,117,124,63,77,26,13,410,10,40,10,51,7322,964,6706,4427,7797
644,2019,12,683,365,318,171,145,62,75,76,100,36,17,273,7,50,16,28,10162,2367,5953,3683,7261
